"country","happinessRank","happinessScore","pop2021"
"Finland","1","7.7690","5548.3600"
"Denmark","2","7.6000","5813.2980"
"Norway","3","7.5540","5465.6300"
"Iceland","4","7.4940","343.3530"
"Netherlands","5","7.4880","17173.0990"
"Switzerland","6","7.4800","8715.4940"
"Sweden","7","7.3430","10160.1690"
"New Zealand","8","7.3070","4860.6430"
"Canada","9","7.2780","38067.9030"
"Austria","10","7.2460","9043.0700"
"Australia","11","7.2280","25788.2150"
"Costa Rica","12","7.1670","5139.0520"
"Israel","13","7.1390","8789.7740"
"Luxembourg","14","7.0900","634.8140"
"United Kingdom","15","7.0540","68207.1160"
"Ireland","16","7.0210","4982.9070"
"Germany","17","6.9850","83900.4730"
"Belgium","18","6.9230","11632.3260"
"United States","19","6.8920","332915.0730"
"Czech Republic","20","6.8520","10724.5550"
"United Arab Emirates","21","6.8250","9991.0890"
"Malta","22","6.7260","442.7840"
"Mexico","23","6.5950","130262.2160"
"France","24","6.5920","65426.1790"
"Taiwan","25","6.4460","23855.0100"
"Chile","26","6.4440","19212.3610"
"Guatemala","27","6.4360","18249.8600"
"Saudi Arabia","28","6.3750","35340.6830"
"Qatar","29","6.3740","2930.5280"
"Spain","30","6.3540","46745.2160"
"Panama","31","6.3210","4381.5790"
"Brazil","32","6.3000","213993.4370"
"Uruguay","33","6.2930","3485.1510"
"Singapore","34","6.2620","5896.6860"
"El Salvador","35","6.2530","6518.4990"
"Italy","36","6.2230","60367.4770"
"Bahrain","37","6.1990","1748.2960"
"Slovakia","38","6.1980","5460.7210"
"Trinidad and Tobago","39","6.1920","1403.3750"
"Poland","40","6.1820","37797.0050"
"Uzbekistan","41","6.1740","33935.7630"
"Lithuania","42","6.1490","2689.8620"
"Colombia","43","6.1250","51265.8440"
"Slovenia","44","6.1180","2078.7240"
"Nicaragua","45","6.1050","6702.3850"
"Argentina","47","6.0860","45605.8260"
"Romania","48","6.0700","19127.7740"
"Cyprus","49","6.0460","1215.5840"
"Ecuador","50","6.0280","17888.4750"
"Kuwait","51","6.0210","4328.5500"
"Thailand","52","6.0080","69950.8500"
"Latvia","53","5.9400","1866.9420"
"South Korea","54","5.8950","51305.1860"
"Estonia","55","5.8930","1325.1850"
"Jamaica","56","5.8900","2973.4630"
"Mauritius","57","5.8880","1273.4330"
"Japan","58","5.8860","126050.8040"
"Honduras","59","5.8600","10062.9910"
"Kazakhstan","60","5.8090","18994.9620"
"Bolivia","61","5.7790","11832.9400"
"Hungary","62","5.7580","9634.1640"
"Paraguay","63","5.7430","7219.6380"
"Peru","65","5.6970","33359.4180"
"Portugal","66","5.6930","10167.9250"
"Pakistan","67","5.6530","225199.9370"
"Russia","68","5.6480","145912.0250"
"Philippines","69","5.6310","111046.9130"
"Serbia","70","5.6030","8697.5500"
"Moldova","71","5.5290","4024.0190"
"Libya","72","5.5250","6958.5320"
"Montenegro","73","5.5230","628.0530"
"Tajikistan","74","5.4670","9749.6270"
"Croatia","75","5.4320","4081.6510"
"Hong Kong","76","5.4300","7552.8100"
"Dominican Republic","77","5.4250","10953.7030"
"Bosnia and Herzegovina","78","5.3860","3263.4660"
"Turkey","79","5.3730","85042.7380"
"Malaysia","80","5.3390","32776.1940"
"Belarus","81","5.3230","9442.8620"
"Greece","82","5.2870","10370.7440"
"Mongolia","83","5.2850","3329.2890"
"Nigeria","85","5.2650","211400.7080"
"Kyrgyzstan","86","5.2610","6628.3560"
"Turkmenistan","87","5.2470","6117.9240"
"Algeria","88","5.2110","44616.6240"
"Morocco","89","5.2080","37344.7950"
"Azerbaijan","90","5.2080","10223.3420"
"Lebanon","91","5.1970","6769.1460"
"Indonesia","92","5.1920","276361.7830"
"China","93","5.1910","1444216.1070"
"Vietnam","94","5.1750","98168.8330"
"Bhutan","95","5.0820","779.8980"
"Cameroon","96","5.0440","27224.2650"
"Bulgaria","97","5.0110","6896.6630"
"Ghana","98","4.9960","31732.1290"
"Ivory Coast","99","4.9440","27053.6290"
"Nepal","100","4.9130","29674.9200"
"Jordan","101","4.9060","10269.0210"
"Benin","102","4.8830","12451.0400"
"Republic of the Congo","103","4.8120","5657.0130"
"Gabon","104","4.7990","2278.8250"
"Laos","105","4.7960","7379.3580"
"South Africa","106","4.7220","60041.9940"
"Albania","107","4.7190","2872.9330"
"Venezuela","108","4.7070","28704.9540"
"Cambodia","109","4.7000","16946.4380"
"Palestine","110","4.6960","5222.7480"
"Senegal","111","4.6810","17196.3010"
"Somalia","112","4.6680","16359.5040"
"Namibia","113","4.6390","2587.3440"
"Niger","114","4.6280","25130.8170"
"Burkina Faso","115","4.5870","21497.0960"
"Armenia","116","4.5590","2968.1270"
"Iran","117","4.5480","85028.7590"
"Guinea","118","4.5340","13497.2440"
"Georgia","119","4.5190","3979.7650"
"Gambia","120","4.5160","2486.9450"
"Kenya","121","4.5090","54985.6980"
"Mauritania","122","4.4900","4775.1190"
"Mozambique","123","4.4660","32163.0470"
"Tunisia","124","4.4610","11935.7660"
"Bangladesh","125","4.4560","166303.4980"
"Iraq","126","4.4370","41179.3500"
"DR Congo","127","4.4180","92377.9930"
"Mali","128","4.3900","20855.7350"
"Sierra Leone","129","4.3740","8141.3430"
"Sri Lanka","130","4.3660","21497.3100"
"Myanmar","131","4.3600","54806.0120"
"Chad","132","4.3500","16914.9850"
"Ukraine","133","4.3320","43466.8190"
"Ethiopia","134","4.2860","117876.2270"
"Eswatini","135","4.2120","1172.3620"
"Uganda","136","4.1890","47123.5310"
"Egypt","137","4.1660","104258.3270"
"Zambia","138","4.1070","18920.6510"
"Togo","139","4.0850","8478.2500"
"India","140","4.0150","1393409.0380"
"Liberia","141","3.9750","5180.2030"
"Comoros","142","3.9730","888.4510"
"Madagascar","143","3.9330","28427.3280"
"Lesotho","144","3.8020","2159.0790"
"Burundi","145","3.7750","12255.4330"
"Zimbabwe","146","3.6630","15092.1710"
"Haiti","147","3.5970","11541.6850"
"Botswana","148","3.4880","2397.2410"
"Syria","149","3.4620","18275.7020"
"Malawi","150","3.4100","19647.6840"
"Yemen","151","3.3800","30490.6400"
"Rwanda","152","3.3340","13276.5130"
"Tanzania","153","3.2310","61498.4370"
"Afghanistan","154","3.2030","39835.4280"
"Central African Republic","155","3.0830","4919.9810"
"South Sudan","156","2.8530","11381.3780"
