"ranking","country","hdi","pop2021"
"1","Norway","0.9570","5465.6300"
"2","Ireland","0.9550","4982.9070"
"2","Switzerland","0.9550","8715.4940"
"4","Iceland","0.9490","343.3530"
"4","Hong Kong","0.9490","7552.8100"
"6","Germany","0.9470","83900.4730"
"7","Sweden","0.9450","10160.1690"
"8","Netherlands","0.9440","17173.0990"
"8","Australia","0.9440","25788.2150"
"10","Denmark","0.9400","5813.2980"
"11","Finland","0.9380","5548.3600"
"11","Singapore","0.9380","5896.6860"
"13","United Kingdom","0.9320","68207.1160"
"14","New Zealand","0.9310","4860.6430"
"14","Belgium","0.9310","11632.3260"
"16","Canada","0.9290","38067.9030"
"17","United States","0.9260","332915.0730"
"18","Austria","0.9220","9043.0700"
"19","Liechtenstein","0.9190","38.2500"
"19","Israel","0.9190","8789.7740"
"19","Japan","0.9190","126050.8040"
"22","Slovenia","0.9170","2078.7240"
"23","Luxembourg","0.9160","634.8140"
"23","South Korea","0.9160","51305.1860"
"25","Spain","0.9040","46745.2160"
"26","France","0.9010","65426.1790"
"28","Malta","0.8950","442.7840"
"29","Estonia","0.8920","1325.1850"
"29","Italy","0.8920","60367.4770"
"31","United Arab Emirates","0.8900","9991.0890"
"32","Greece","0.8880","10370.7440"
"33","Cyprus","0.8870","1215.5840"
"34","Lithuania","0.8820","2689.8620"
"35","Poland","0.8800","37797.0050"
"36","Andorra","0.8680","77.3550"
"37","Latvia","0.8660","1866.9420"
"38","Portugal","0.8640","10167.9250"
"39","Slovakia","0.8600","5460.7210"
"40","Hungary","0.8540","9634.1640"
"40","Saudi Arabia","0.8540","35340.6830"
"42","Bahrain","0.8520","1748.2960"
"43","Croatia","0.8510","4081.6510"
"43","Chile","0.8510","19212.3610"
"45","Qatar","0.8480","2930.5280"
"46","Argentina","0.8450","45605.8260"
"47","Brunei","0.8380","441.5320"
"48","Montenegro","0.8290","628.0530"
"49","Romania","0.8280","19127.7740"
"50","Palau","0.8260","18.1690"
"51","Kazakhstan","0.8250","18994.9620"
"52","Russia","0.8240","145912.0250"
"53","Belarus","0.8230","9442.8620"
"54","Turkey","0.8200","85042.7380"
"55","Uruguay","0.8170","3485.1510"
"56","Bulgaria","0.8160","6896.6630"
"57","Panama","0.8150","4381.5790"
"58","Barbados","0.8140","287.7110"
"58","Bahamas","0.8140","396.9130"
"60","Oman","0.8130","5223.3750"
"61","Georgia","0.8120","3979.7650"
"62","Costa Rica","0.8100","5139.0520"
"62","Malaysia","0.8100","32776.1940"
"64","Kuwait","0.8060","4328.5500"
"64","Serbia","0.8060","8697.5500"
"66","Mauritius","0.8040","1273.4330"
"67","Seychelles","0.7960","98.9080"
"67","Trinidad and Tobago","0.7960","1403.3750"
"69","Albania","0.7950","2872.9330"
"70","Cuba","0.7830","11317.5050"
"70","Iran","0.7830","85028.7590"
"72","Sri Lanka","0.7820","21497.3100"
"73","Bosnia and Herzegovina","0.7800","3263.4660"
"74","Saint Kitts and Nevis","0.7790","53.5440"
"74","Grenada","0.7790","113.0210"
"74","Ukraine","0.7790","43466.8190"
"74","Mexico","0.7790","130262.2160"
"78","Antigua and Barbuda","0.7780","98.7310"
"79","Peru","0.7770","33359.4180"
"79","Thailand","0.7770","69950.8500"
"81","Armenia","0.7760","2968.1270"
"82","North Macedonia","0.7740","2082.6580"
"83","Colombia","0.7670","51265.8440"
"84","Brazil","0.7650","213993.4370"
"85","China","0.7610","1444216.1070"
"86","Saint Lucia","0.7590","184.4000"
"86","Ecuador","0.7590","17888.4750"
"88","Azerbaijan","0.7560","10223.3420"
"88","Dominican Republic","0.7560","10953.7030"
"90","Moldova","0.7500","4024.0190"
"91","Algeria","0.7480","44616.6240"
"92","Lebanon","0.7440","6769.1460"
"93","Fiji","0.7430","902.9060"
"94","Dominica","0.7420","72.1670"
"95","Maldives","0.7400","543.6170"
"95","Tunisia","0.7400","11935.7660"
"97","Saint Vincent and the Grenadines","0.7380","111.2630"
"97","Suriname","0.7380","591.8000"
"99","Mongolia","0.7370","3329.2890"
