"country","hdi","pop2021"
"Norway","0.9540","5465.6300"
"Switzerland","0.9460","8715.4940"
"Ireland","0.9420","4982.9070"
"Hong Kong","0.9390","7552.8100"
"Germany","0.9390","83900.4730"
"Iceland","0.9380","343.3530"
"Australia","0.9380","25788.2150"
"Sweden","0.9370","10160.1690"
"Singapore","0.9350","5896.6860"
"Netherlands","0.9330","17173.0990"
"Denmark","0.9300","5813.2980"
"Finland","0.9250","5548.3600"
"Canada","0.9220","38067.9030"
"New Zealand","0.9210","4860.6430"
"United Kingdom","0.9200","68207.1160"
"United States","0.9200","332915.0730"
"Belgium","0.9190","11632.3260"
"Liechtenstein","0.9170","38.2500"
"Japan","0.9150","126050.8040"
"Austria","0.9140","9043.0700"
"Luxembourg","0.9090","634.8140"
"Israel","0.9060","8789.7740"
"South Korea","0.9060","51305.1860"
"Slovenia","0.9020","2078.7240"
"Spain","0.8930","46745.2160"
"Czech Republic","0.8910","10724.5550"
"France","0.8910","65426.1790"
"Malta","0.8850","442.7840"
"Italy","0.8830","60367.4770"
"Estonia","0.8820","1325.1850"
"Cyprus","0.8730","1215.5840"
"Greece","0.8720","10370.7440"
"Poland","0.8720","37797.0050"
"Lithuania","0.8690","2689.8620"
"United Arab Emirates","0.8660","9991.0890"
"Andorra","0.8570","77.3550"
"Slovakia","0.8570","5460.7210"
"Saudi Arabia","0.8570","35340.6830"
"Latvia","0.8540","1866.9420"
"Portugal","0.8500","10167.9250"
"Qatar","0.8480","2930.5280"
"Chile","0.8470","19212.3610"
"Brunei","0.8450","441.5320"
"Hungary","0.8450","9634.1640"
"Bahrain","0.8380","1748.2960"
"Croatia","0.8370","4081.6510"
"Oman","0.8340","5223.3750"
"Argentina","0.8300","45605.8260"
"Russia","0.8240","145912.0250"
"Belarus","0.8170","9442.8620"
"Kazakhstan","0.8170","18994.9620"
"Montenegro","0.8160","628.0530"
"Bulgaria","0.8160","6896.6630"
"Romania","0.8160","19127.7740"
"Palau","0.8140","18.1690"
"Barbados","0.8130","287.7110"
"Uruguay","0.8080","3485.1510"
"Kuwait","0.8080","4328.5500"
"Turkey","0.8060","85042.7380"
"Bahamas","0.8050","396.9130"
"Malaysia","0.8040","32776.1940"
"Seychelles","0.8010","98.9080"
"Trinidad and Tobago","0.7990","1403.3750"
"Serbia","0.7990","8697.5500"
"Iran","0.7970","85028.7590"
"Mauritius","0.7960","1273.4330"
"Panama","0.7950","4381.5790"
"Costa Rica","0.7940","5139.0520"
"Albania","0.7910","2872.9330"
"Georgia","0.7860","3979.7650"
"Sri Lanka","0.7800","21497.3100"
"Cuba","0.7780","11317.5050"
"Saint Kitts and Nevis","0.7770","53.5440"
"Antigua and Barbuda","0.7760","98.7310"
"Bosnia and Herzegovina","0.7690","3263.4660"
"Mexico","0.7670","130262.2160"
"Thailand","0.7650","69950.8500"
"Grenada","0.7630","113.0210"
"Colombia","0.7610","51265.8440"
"Brazil","0.7610","213993.4370"
"Armenia","0.7600","2968.1270"
"North Macedonia","0.7590","2082.6580"
"Peru","0.7590","33359.4180"
"Algeria","0.7590","44616.6240"
"Ecuador","0.7580","17888.4750"
"China","0.7580","1444216.1070"
"Azerbaijan","0.7540","10223.3420"
"Ukraine","0.7500","43466.8190"
"Saint Lucia","0.7450","184.4000"
"Dominican Republic","0.7450","10953.7030"
"Tunisia","0.7390","11935.7660"
"Mongolia","0.7350","3329.2890"
"Lebanon","0.7300","6769.1460"
"Saint Vincent and the Grenadines","0.7280","111.2630"
"Botswana","0.7280","2397.2410"
"Jamaica","0.7260","2973.4630"
"Venezuela","0.7260","28704.9540"
"Suriname","0.7240","591.8000"
"Fiji","0.7240","902.9060"
"Paraguay","0.7240","7219.6380"
"Jordan","0.7230","10269.0210"
"Belize","0.7200","404.9140"
"Maldives","0.7190","543.6170"
"Tonga","0.7170","106.7600"
