"country","iq","pop2021"
"Japan","106.4800","126050.8040"
"Taiwan","106.4700","23855.0100"
"Singapore","105.8900","5896.6860"
"Hong Kong","105.3700","7552.8100"
"China","104.1000","1444216.1070"
"South Korea","102.3500","51305.1860"
"Belarus","101.6000","9442.8620"
"Finland","101.2000","5548.3600"
"Liechtenstein","101.0700","38.2500"
"Netherlands","100.7400","17173.0990"
"Germany","100.7400","83900.4730"
"Estonia","100.7200","1325.1850"
"Luxembourg","99.8700","634.8140"
"Macau","99.8200","658.3940"
"Cambodia","99.7500","16946.4380"
"Canada","99.5200","38067.9030"
"Switzerland","99.2400","8715.4940"
"Hungary","99.2400","9634.1640"
"Australia","99.2400","25788.2150"
"United Kingdom","99.1200","68207.1160"
"Greenland","98.8900","56.8770"
"North Korea","98.8200","25887.0410"
"Slovenia","98.6000","2078.7240"
"New Zealand","98.5700","4860.6430"
"Austria","98.3800","9043.0700"
"Iceland","98.2600","343.3530"
"Denmark","97.8300","5813.2980"
"Belgium","97.4900","11632.3260"
"United States","97.4300","332915.0730"
"Norway","97.1300","5465.6300"
"Sweden","97","10160.1690"
"France","96.6900","65426.1790"
"Poland","96.3500","37797.0050"
"Slovakia","96.3200","5460.7210"
"Russia","96.2900","145912.0250"
"Lithuania","95.8900","2689.8620"
"Croatia","95.7500","4081.6510"
"Andorra","95.2000","77.3550"
"Ireland","95.1300","4982.9070"
"Czech Republic","94.9200","10724.5550"
"Latvia","94.7900","1866.9420"
"Italy","94.2300","60367.4770"
"New Caledonia","93.9200","288.2180"
"Vanuatu","93.9200","314.4640"
"Spain","93.9000","46745.2160"
"Bermuda","93.4800","62.0900"
"Cyprus","93.3900","1215.5840"
"Portugal","92.7700","10167.9250"
"Israel","92.4300","8789.7740"
"Barbados","91.6000","287.7110"
"Malta","91.2700","442.7840"
"Myanmar","91.1800","54806.0120"
"Mongolia","91.0300","3329.2890"
"Bulgaria","90.9900","6896.6630"
"Greece","90.7700","10370.7440"
"Suriname","90.2900","591.8000"
"Ukraine","90.0700","43466.8190"
"Moldova","89.9800","4024.0190"
"Serbia","89.6000","8697.5500"
"Vietnam","89.5300","98168.8330"
"Iraq","89.2800","41179.3500"
"Uzbekistan","89.0100","33935.7630"
"Kazakhstan","88.8900","18994.9620"
"Thailand","88.8700","69950.8500"
"Armenia","88.8200","2968.1270"
"Bosnia and Herzegovina","88.5400","3263.4660"
"Costa Rica","88.3400","5139.0520"
"Bhutan","87.9400","779.8980"
"Chile","87.8900","19212.3610"
"Mexico","87.7300","130262.2160"
"Tajikistan","87.7100","9749.6270"
"Uruguay","87.5900","3485.1510"
"Brunei","87.5800","441.5320"
"Malaysia","87.5800","32776.1940"
"Bahamas","86.9900","396.9130"
"Romania","86.8800","19127.7740"
"Turkey","86.8000","85042.7380"
"Argentina","86.6300","45605.8260"
"Sri Lanka","86.6200","21497.3100"
"Mauritius","86.5600","1273.4330"
"Turkmenistan","85.8600","6117.9240"
"Montenegro","85.7800","628.0530"
"Trinidad and Tobago","85.6300","1403.3750"
"Azerbaijan","84.8100","10223.3420"
"Georgia","84.5000","3979.7650"
"Turks and Caicos Islands","84.2900","39.2310"
"Paraguay","84.0400","7219.6380"
"Cook Islands","83.9600","17.5650"
"Marshall Islands","83.9600","59.6100"
"Tonga","83.9600","106.7600"
"Micronesia","83.9600","116.2540"
"Kiribati","83.9600","121.3920"
"Samoa","83.9600","200.1490"
"Solomon Islands","83.9600","703.9960"
"Fiji","83.9600","902.9060"
"Cuba","83.9000","11317.5050"
"Bahrain","83.6000","1748.2960"
"Brazil","83.3800","213993.4370"
"Guyana","83.2300","790.3260"
"Colombia","83.1300","51265.8440"
"Venezuela","82.9900","28704.9540"
"Cayman Islands","82.2400","66.4970"
"Afghanistan","82.1200","39835.4280"
"Haiti","82.1000","11541.6850"
"United Arab Emirates","82.0500","9991.0890"
"Dominican Republic","82.0500","10953.7030"
"Puerto Rico","81.9900","2828.2550"
"North Macedonia","81.9100","2082.6580"
"Albania","81.7500","2872.9330"
"Lebanon","81.7000","6769.1460"
"Philippines","81.6400","111046.9130"
"Peru","81.4400","33359.4180"
"Northern Mariana Islands","81.3600","57.9170"
"Laos","80.9900","7379.3580"
"Libya","80.9200","6958.5320"
"Qatar","80.7800","2930.5280"
"Jordan","80.7000","10269.0210"
"Maldives","80.5400","543.6170"
"Iran","80.0100","85028.7590"
"Pakistan","80","225199.9370"
"Grenada","79.3400","113.0210"
"Tunisia","79.2200","11935.7660"
"Kyrgyzstan","79.0900","6628.3560"
"Panama","79","4381.5790"
"Chad","78.8700","16914.9850"
"Sudan","78.8700","44909.3530"
"Seychelles","78.7600","98.9080"
"Oman","78.7000","5223.3750"
"Kuwait","78.6400","4328.5500"
"Timor-Leste","78.4900","1343.8730"
