"rank","country","peaceIndex","pop2021"
"1","afghanistan","3.5740","39835.4280"
"2","syria","3.5660","18275.7020"
"3","south sudan","3.5260","11381.3780"
"4","yemen","3.4120","30490.6400"
"5","iraq","3.3690","41179.3500"
"6","somalia","3.3000","16359.5040"
"7","central african republic","3.2960","4919.9810"
"8","libya","3.2850","6958.5320"
"9","dr congo","3.2180","92377.9930"
"10","russia","3.0930","145912.0250"
"11","pakistan","3.0720","225199.9370"
"12","turkey","3.0150","85042.7380"
"13","sudan","2.9950","44909.3530"
"14","ukraine","2.9500","43466.8190"
"15","north korea","2.9210","25887.0410"
"16","nigeria","2.8980","211400.7080"
"17","lebanon","2.8000","6769.1460"
"18","israel","2.7350","8789.7740"
"19","mali","2.7100","20855.7350"
"20","venezuela","2.6710","28704.9540"
"21","colombia","2.6610","51265.8440"
"22","palestine","2.6080","5222.7480"
"23","india","2.6050","1393409.0380"
"24","mexico","2.6000","130262.2160"
"25","iran","2.5420","85028.7590"
"26","cameroon","2.5380","27224.2650"
"27","chad","2.5220","16914.9850"
"28","egypt","2.5210","104258.3270"
"29","burundi","2.5200","12255.4330"
"30","philippines","2.5160","111046.9130"
"31","eritrea","2.5040","3601.4670"
"32","zimbabwe","2.4630","15092.1710"
"33","ethiopia","2.4340","117876.2270"
"34","azerbaijan","2.4250","10223.3420"
"35","saudi arabia","2.4090","35340.6830"
"36","united states","2.4010","332915.0730"
"37","south africa","2.3990","60041.9940"
"38","niger","2.3940","25130.8170"
"39","myanmar","2.3930","54806.0120"
"40","bahrain","2.3570","1748.2960"
"41","honduras","2.3410","10062.9910"
"42","mauritania","2.3330","4775.1190"
"43","republic of the congo","2.3230","5657.0130"
"44","nicaragua","2.3120","6702.3850"
"45","kenya","2.3000","54985.6980"
"46","armenia","2.2940","2968.1270"
"47","thailand","2.2780","69950.8500"
"48","brazil","2.2710","213993.4370"
"49","turkmenistan","2.2650","6117.9240"
"50","guatemala","2.2640","18249.8600"
"51","el salvador","2.2620","6518.4990"
"52","guinea-bissau","2.2370","2015.4940"
"53","algeria","2.2190","44616.6240"
"54","china","2.2170","1444216.1070"
"55","djibouti","2.2070","1002.1870"
"56","togo","2.2050","8478.2500"
"57","ivory coast","2.2030","27053.6290"
"59","tajikistan","2.1960","9749.6270"
"58","uganda","2.1960","47123.5310"
"60","burkina faso","2.1760","21497.0960"
"61","lesotho","2.1670","2159.0790"
"62","uzbekistan","2.1660","33935.7630"
"63","bangladesh","2.1280","166303.4980"
"64","guinea","2.1250","13497.2440"
"65","georgia","2.1220","3979.7650"
"66","papua new guinea","2.1180","9119.0100"
"67","belarus","2.1150","9442.8620"
"68","gabon","2.1120","2278.8250"
"69","kyrgyzstan","2.1050","6628.3560"
"70","mozambique","2.0990","32163.0470"
"71","trinidad and tobago","2.0940","1403.3750"
"72","guyana","2.0750","790.3260"
"73","cuba","2.0730","11317.5050"
"74","morocco","2.0700","37344.7950"
"75","cambodia","2.0660","16946.4380"
"76","Paraguay","2.0550","7219.6380"
"77","haiti","2.0520","11541.6850"
"78","bolivia","2.0440","11832.9400"
"79","dominican republic","2.0410","10953.7030"
"80","jamaica","2.0380","2973.4630"
"81","tunisia","2.0350","11935.7660"
"82","bosnia and herzegovina","2.0190","3263.4660"
"83","peru","2.0160","33359.4180"
"84","rwanda","2.0140","13276.5130"
"86","jordan","2.0120","10269.0210"
"85","angola","2.0120","33933.6100"
"87","nepal","2.0030","29674.9200"
"88","argentina","1.9890","45605.8260"
"91","Eswatini","1.9860","1172.3620"
"90","benin","1.9860","12451.0400"
"89","Sri Lanka","1.9860","21497.3100"
"92","ecuador","1.9800","17888.4750"
"93","equatorial guinea","1.9570","1449.8960"
"94","oman","1.9530","5223.3750"
"95","moldova","1.9510","4024.0190"
"96","montenegro","1.9390","628.0530"
"97","greece","1.9330","10370.7440"
"98","kazakhstan","1.9320","18994.9620"
"99","cyprus","1.9140","1215.5840"
"100","gambia","1.9080","2486.9450"
"102","namibia","1.8920","2587.3440"
"101","france","1.8920","65426.1790"
"103","liberia","1.8890","5180.2030"
"104","senegal","1.8830","17196.3010"
"105","vietnam","1.8770","98168.8330"
"107","madagascar","1.8670","28427.3280"
"106","south korea","1.8670","51305.1860"
"108","tanzania","1.8600","61498.4370"
"109","united arab emirates","1.8470","9991.0890"
"110","sierra leone","1.8220","8141.3430"
"111","albania","1.8210","2872.9330"
"112","serbia","1.8120","8697.5500"
"114","Timor-Leste","1.8050","1343.8730"
"113","zambia","1.8050","18920.6510"
"115","panama","1.8040","4381.5790"
"117","laos","1.8010","7379.3580"
"116","united kingdom","1.8010","68207.1160"
"118","ghana","1.7960","31732.1290"
"119","kuwait","1.7940","4328.5500"
"120","mongolia","1.7920","3329.2890"
"121","indonesia","1.7850","276361.7830"
"122","malawi","1.7790","19647.6840"
"123","italy","1.7540","60367.4770"
"124","lithuania","1.7280","2689.8620"
"125","estonia","1.7270","1325.1850"
"126","taiwan","1.7250","23855.0100"
"127","latvia","1.7180","1866.9420"
"128","uruguay","1.7110","3485.1510"
"129","costa rica","1.7060","5139.0520"
"130","spain","1.6990","46745.2160"
"131","qatar","1.6960","2930.5280"
"132","botswana","1.6760","2397.2410"
"133","poland","1.6540","37797.0050"
"134","croatia","1.6450","4081.6510"
"135","chile","1.6340","19212.3610"
"136","bulgaria","1.6070","6896.6630"
"137","romania","1.6060","19127.7740"
"138","mauritius","1.5620","1273.4330"
"139","slovakia","1.5500","5460.7210"
"140","germany","1.5470","83900.4730"
"141","hungary","1.5400","9634.1640"
"142","norway","1.5360","5465.6300"
"144","sweden","1.5330","10160.1690"
"143","belgium","1.5330","11632.3260"
"145","netherlands","1.5300","17173.0990"
"146","malaysia","1.5290","32776.1940"
"147","Bhutan","1.5060","779.8980"
"148","finland","1.4880","5548.3600"
"149","australia","1.4190","25788.2150"
"150","ireland","1.3900","4982.9070"
"151","switzerland","1.3830","8715.4940"
"152","czech republic","1.3750","10724.5550"
