"country","ranking","pop2021"
"Netherlands","1","17173.0990"
"Canada","2","38067.9030"
"New Zealand","3","4860.6430"
"Sweden","4","10160.1690"
"Denmark","5","5813.2980"
"Finland","6","5548.3600"
"Switzerland","7","8715.4940"
"Norway","8","5465.6300"
"Belgium","9","11632.3260"
"Austria","10","9043.0700"
"France","11","65426.1790"
"Ireland","12","4982.9070"
"Australia","13","25788.2150"
"Portugal","14","10167.9250"
"Greece","15","10370.7440"
"United Kingdom","16","68207.1160"
"Germany","17","83900.4730"
"Brazil","18","213993.4370"
"Italy","19","60367.4770"
"Spain","20","46745.2160"
"Colombia","21","51265.8440"
"Dominican Republic","22","10953.7030"
"Argentina","23","45605.8260"
"Indonesia","24","276361.7830"
"Mexico","26","130262.2160"
"Chile","27","19212.3610"
"Costa Rica","28","5139.0520"
"Poland","29","37797.0050"
"Panama","30","4381.5790"
"Russia","31","145912.0250"
"Uruguay","32","3485.1510"
"Singapore","33","5896.6860"
"South Africa","34","60041.9940"
"South Korea","35","51305.1860"
"Japan","36","126050.8040"
"Hungary","37","9634.1640"
"Estonia","38","1325.1850"
"Egypt","39","104258.3270"
"Morocco","40","37344.7950"
"Malaysia","41","32776.1940"
"Thailand","42","69950.8500"
"Romania","43","19127.7740"
"Vietnam","44","98168.8330"
"Slovenia","45","2078.7240"
"Peru","46","33359.4180"
"Kenya","47","54985.6980"
"Jordan","48","10269.0210"
"Tunisia","49","11935.7660"
"Azerbaijan","50","10223.3420"
"Croatia","51","4081.6510"
"Turkey","52","85042.7380"
"Bulgaria","53","6896.6630"
"Latvia","54","1866.9420"
"Philippines","55","111046.9130"
"Ecuador","56","17888.4750"
"India","57","1393409.0380"
"Guatemala","58","18249.8600"
"Lithuania","59","2689.8620"
"El Salvador","60","6518.4990"
"Cambodia","61","16946.4380"
"Iraq","62","41179.3500"
"Kazakhstan","63","18994.9620"
"Oman","64","5223.3750"
"Lebanon","65","6769.1460"
"China","66","1444216.1070"
"Uzbekistan","67","33935.7630"
"Belarus","68","9442.8620"
"United States","69","332915.0730"
"Ukraine","70","43466.8190"
"Israel","71","8789.7740"
"Myanmar","72","54806.0120"
"Slovakia","73","5460.7210"
"United Arab Emirates","74","9991.0890"
"Sri Lanka","75","21497.3100"
"Saudi Arabia","76","35340.6830"
"Serbia","77","8697.5500"
"Qatar","78","2930.5280"
