"ranking","country","score","pop2021"
"1","Iceland","1.1000","343.3530"
"2","New Zealand","1.2530","4860.6430"
"3","Denmark","1.2560","5813.2980"
"4","Portugal","1.2670","10167.9250"
"5","Slovenia","1.3150","2078.7240"
"6","Austria","1.3170","9043.0700"
"7","Switzerland","1.3230","8715.4940"
"8","Ireland","1.3260","4982.9070"
"9","Czech Republic","1.3290","10724.5550"
"10","Canada","1.3300","38067.9030"
"11","Singapore","1.3470","5896.6860"
"12","Japan","1.3730","126050.8040"
"13","Finland","1.4020","5548.3600"
"14","Norway","1.4380","5465.6300"
"15","Sweden","1.4600","10160.1690"
"16","Australia","1.4700","25788.2150"
"17","Germany","1.4800","83900.4730"
"17","Croatia","1.4800","4081.6510"
"19","Hungary","1.4940","9634.1640"
"20","Belgium","1.4960","11632.3260"
"21","Netherlands","1.5060","17173.0990"
"22","Bhutan","1.5100","779.8980"
"23","Malaysia","1.5150","32776.1940"
"24","Poland","1.5240","37797.0050"
"25","Romania","1.5300","19127.7740"
"26","Slovakia","1.5570","5460.7210"
"27","Bulgaria","1.5770","6896.6630"
"28","Mauritius","1.5920","1273.4330"
"29","Qatar","1.6050","2930.5280"
"30","Estonia","1.6120","1325.1850"
"31","Spain","1.6210","46745.2160"
"32","Italy","1.6520","60367.4770"
"33","United Kingdom","1.6580","68207.1160"
"34","Taiwan","1.6620","23855.0100"
"35","Latvia","1.6860","1866.9420"
"36","Kuwait","1.6880","4328.5500"
"37","Lithuania","1.6890","2689.8620"
"38","Ghana","1.7150","31732.1290"
"39","Costa Rica","1.7350","5139.0520"
"40","North Macedonia","1.7440","2082.6580"
"41","Botswana","1.7530","2397.2410"
"42","Indonesia","1.7830","276361.7830"
"42","Mongolia","1.7830","3329.2890"
"44","Serbia","1.7970","8697.5500"
"45","Laos","1.8090","7379.3580"
"46","Sierra Leone","1.8130","8141.3430"
"47","Uruguay","1.8170","3485.1510"
"48","Albania","1.8240","2872.9330"
"49","Chile","1.8310","19212.3610"
"50","Vietnam","1.8350","98168.8330"
"51","Montenegro","1.8470","628.0530"
"52","United Arab Emirates","1.8480","9991.0890"
"54","Senegal","1.8640","17196.3010"
"55","France","1.8680","65426.1790"
"56","Timor-Leste","1.8730","1343.8730"
"57","South Korea","1.8770","51305.1860"
"58","Tanzania","1.8920","61498.4370"
"59","Malawi","1.9090","19647.6840"
"59","Moldova","1.9090","4024.0190"
"61","Cyprus","1.9120","1215.5840"
"62","Equatorial Guinea","1.9150","1449.8960"
"63","Jordan","1.9160","10269.0210"
